Utterance	Reversed tokens	Correct classification	RNC_1 classification	RNC_2 classification	RNC_3 classification	RNC_4 classification	RNC_5 classification	RNC_6 classification	RNC_7 classification	Majority vote
'nao possivel que deputados tenham tantos cargos comissionados ao seu dispor esse tipo de coisa que precisa ser cortado'"	'nao possivel que deputados tantos cargos comissionados ao seu esse tipo de coisa que precisa ser	"no	"no	"no	"no	"no	"no	"no	"no	"no
'nao pizza anunciada de anistia do caixa  sim divulgacao da lista da odebrecht'"	'nao de anistia do caixa sim da lista da	"no	"no	"no	"no	"no	"no	"no	"no	"no
'enquanto isso teori segura bronca no stf'"	'enquanto isso no	"no	"no	"no	"no	"no	"no	"no	"no	"no
' para judiciario acreditam mesmo neste indice '"	' para judiciario mesmo neste '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'falei alguma mentira'"	alguma mentira'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'sem pec dinheiro tera que sair de algum lugar  ou seja novos imposto aumento dos ja existentes problema da educacao  saude seguranca corrupcao se isso resolver vai sobrar dinheiro para essas areas '"	'sem pec dinheiro que sair de algum lugar ou seja imposto aumento dos ja problema da educacao saude seguranca corrupcao se isso resolver vai dinheiro para essas areas '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'enquanto um presidente nao tiver coragem de propor acabar com todas as regalias beneficios dos deputados senadores  para mim ele continuara ser um presidente qualquer caso fosse  candidato reeleicao nao teria meu voto'"	'enquanto um presidente nao de acabar com todas as regalias beneficios dos deputados senadores para mim ele ser um presidente qualquer caso fosse nao meu	"no	"no	"no	"no	"no	"no	"no	"no	"no
'pra que ele iria fazer isso kkk pra que um politico iria ser contra politicos receberem muito'"	'pra que ele iria fazer isso kkk pra que um politico iria ser contra politicos muito'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'viva lava jato que venha as delacoes politicos corruptos cana '"	lava jato que as delacoes politicos corruptos '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'rodrigo realmente muito facil de compreender isso eu compreendi que foi um golpe de mestre ah ah ah'"	'rodrigo realmente muito facil de compreender isso eu que foi um golpe de ah ah	"no	"no	"no	"no	"no	"no	"no	"no	"no
'cortar na propria carne reduzir no de deputados federais senadores seus gabinetes com aa consequente reducao de mordomias'"	'cortar na propria carne reduzir no de deputados federais senadores seus com reducao de	"no	"no	"no	"no	"no	"no	"no	"no	"no
'nem sou mas esse cara um velho asqueroso'"	'nem sou mas esse cara um velho asqueroso'	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'falou recalcado que nao deu conta de passar em um concurso ele ate que tentou mais nao deu ne'"	'falou que nao deu conta de passar em um concurso ele ate que mais nao deu ne'	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'marcio oliveira governo devia acabar com privilegios do stf   congresso camara dos deputados do cnj ou seja do judiciario em geral principalmente dos autos escalao do governo isso seria uma boa medida tira das costas do trabalhador uma imoralidade '"	governo acabar com do stf dos deputados do ou seja do judiciario em geral dos autos escalao do governo isso seria uma boa tira das do trabalhador uma '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'paulo henrique eu nao sou de esquerda nao se trata de ideologia partidaria as pessoas precisam procurar fontes seguras antagonicas sobre assunto antes de usar uma logica de      sem olhar para problema de forma macro'"	'paulo eu nao sou de esquerda nao se de as precisam procurar sobre assunto antes de usar uma logica de sem para problema de forma	"no	"no	"no	"no	"no	"no	"no	"no	"no
